4.50000E+00 1.60391E-02 5.36111E+02 1.69108E+01 5.40758E+02 5.94604E+04 6.02475E+03 1.31463E+01 9.46291E+02 5.65297E+02 1.45883E+00 
4.60482E+00 1.12168E-02 3.54538E+02 1.16480E+01 4.55491E+02 4.04140E+04 4.20900E+03 9.34450E+00 6.19607E+02 4.90579E+02 1.01454E+00 
4.71208E+00 8.29708E-03 2.40242E+02 8.53407E+00 3.15756E+02 2.92762E+04 3.13276E+03 7.02595E+00 4.71272E+02 3.26930E+02 7.46394E-01 
4.82184E+00 6.39175E-03 1.83101E+02 6.53507E+00 2.46113E+02 2.22285E+04 2.44279E+03 5.50207E+00 3.59651E+02 2.49450E+02 5.71965E-01 
4.93415E+00 5.06964E-03 1.43563E+02 5.16319E+00 1.97288E+02 1.73750E+04 1.96196E+03 4.43691E+00 2.82715E+02 1.96046E+02 4.51364E-01 
5.04908E+00 4.10934E-03 1.15111E+02 4.17185E+00 1.61713E+02 1.38943E+04 1.61183E+03 3.65713E+00 2.27330E+02 1.57607E+02 3.64088E-01 
5.16669E+00 3.39269E-03 9.40648E+01 3.43459E+00 1.35083E+02 1.13318E+04 1.35000E+03 3.07038E+00 1.86365E+02 1.29180E+02 2.99149E-01 
5.28704E+00 2.84827E-03 7.84270E+01 2.87645E+00 1.14674E+02 9.39640E+03 1.15000E+03 2.62086E+00 1.55395E+02 1.07690E+02 2.49916E-01 
5.41019E+00 2.42786E-03 6.60792E+01 2.44699E+00 9.87710E+01 7.90675E+03 9.94477E+02 2.27099E+00 1.31540E+02 9.11371E+01 2.11949E-01 
5.53621E+00 2.09759E-03 5.62221E+01 2.11079E+00 8.62099E+01 6.74520E+03 8.71876E+02 1.99411E+00 1.12890E+02 7.81972E+01 1.82156E-01 
5.66516E+00 1.83336E-03 4.85635E+01 1.84262E+00 7.61115E+01 5.82310E+03 7.73755E+02 1.77106E+00 9.80756E+01 6.79180E+01 1.58351E-01 
5.79712E+00 1.61843E-03 4.23390E+01 1.62493E+00 6.78103E+01 5.07332E+03 6.93239E+02 1.58843E+00 8.60225E+01 5.95549E+01 1.39016E-01 
5.93216E+00 1.44112E-03 3.72287E+01 1.44568E+00 6.09270E+01 4.45777E+03 6.26451E+02 1.43683E+00 7.61034E+01 5.26729E+01 1.23092E-01 
6.07033E+00 1.29317E-03 3.29830E+01 1.29632E+00 5.51671E+01 3.94915E+03 5.70784E+02 1.30957E+00 6.78881E+01 4.69734E+01 1.09823E-01 
6.21173E+00 1.16850E-03 2.94104E+01 1.17063E+00 5.02642E+01 3.52037E+03 5.23489E+02 1.20172E+00 6.09609E+01 4.21621E+01 9.86559E-02 
6.35642E+00 1.06252E-03 2.63838E+01 1.06392E+00 4.60655E+01 3.15645E+03 4.83023E+02 1.10953E+00 5.50747E+01 3.80833E+01 8.91722E-02 
6.50448E+00 9.71641E-04 2.37968E+01 9.72517E-01 4.24552E+01 2.84705E+03 4.48358E+02 1.03007E+00 5.00571E+01 3.46022E+01 8.10482E-02 
6.65599E+00 8.93074E-04 2.15627E+01 8.93588E-01 3.93076E+01 2.57989E+03 4.18226E+02 9.61036E-01 4.57223E+01 3.15946E+01 7.40318E-02 
6.81103E+00 8.24615E-04 1.96243E+01 8.24879E-01 3.65420E+01 2.34726E+03 3.91801E+02 9.00608E-01 4.19447E+01 2.89735E+01 6.79255E-02 
6.96967E+00 7.64543E-04 1.79280E+01 7.64632E-01 3.41071E+01 2.14457E+03 3.68603E+02 8.47348E-01 3.86441E+01 2.66835E+01 6.25739E-02 
7.13202E+00 7.11504E-04 1.64353E+01 7.11473E-01 3.19432E+01 1.96627E+03 3.48052E+02 8.00126E-01 3.57356E+01 2.46654E+01 5.78549E-02 
7.29815E+00 6.64438E-04 1.51147E+01 6.64325E-01 3.00067E+01 1.80816E+03 3.29709E+02 7.58051E-01 3.31543E+01 2.28742E+01 5.36720E-02 
7.46814E+00 6.22493E-04 1.39410E+01 6.22329E-01 2.82716E+01 1.66790E+03 3.13335E+02 7.20410E-01 3.08596E+01 2.12818E+01 4.99474E-02 
7.64210E+00 5.84969E-04 1.28931E+01 5.84779E-01 2.67091E+01 1.54286E+03 2.98656E+02 6.86613E-01 2.88102E+01 1.98567E+01 4.66172E-02 
7.82010E+00 5.51283E-04 1.19542E+01 5.51087E-01 2.52935E+01 1.43062E+03 2.85420E+02 6.56171E-01 2.69695E+01 1.85820E+01 4.36284E-02 
8.00226E+00 5.20941E-04 1.11096E+01 5.20755E-01 2.40086E+01 1.32972E+03 2.73476E+02 6.28662E-01 2.53129E+01 1.74319E+01 4.09359E-02 
8.18865E+00 4.93523E-04 1.03480E+01 4.93361E-01 2.28389E+01 1.23876E+03 2.62672E+02 6.03734E-01 2.38173E+01 1.63936E+01 3.85022E-02 
8.37939E+00 4.68664E-04 9.65576E+00 4.68536E-01 2.17683E+01 1.15630E+03 2.52850E+02 5.81072E-01 2.24604E+01 1.54513E+01 3.62945E-02 
8.57457E+00 4.46059E-04 9.02804E+00 4.45974E-01 2.07855E+01 1.08132E+03 2.43901E+02 5.60422E-01 2.12261E+01 1.45943E+01 3.42859E-02 
8.77430E+00 4.25437E-04 8.45471E+00 4.25402E-01 1.98822E+01 1.01309E+03 2.35743E+02 5.41544E-01 2.01010E+01 1.38122E+01 3.24520E-02 
8.97868E+00 4.06572E-04 7.93227E+00 4.06593E-01 1.90476E+01 9.50684E+02 2.28268E+02 5.24245E-01 1.90709E+01 1.30963E+01 3.07729E-02 
